"","SHIP_ID","SHIPNAME","ship_type","points","first_date","last_date","LAT","LON","DATETIME","dest_lat","dest_lon","distance_meters"
"83",145926,"NAVI BALTIC","Cargo",1322,"2016-12-15T05:37:06Z","2016-12-17T01:59:06Z",55.72889,21.0307,"2016-12-15T06:21:07Z",55.72868,21.05503,1525.31065279894
"84",145981,"BF FORTALEZA","Cargo",1159,"2016-12-19T14:25:03Z","2016-12-20T11:11:04Z",59.90128,30.1009,"2016-12-19T14:47:04Z",59.8981,30.11638,933.914734458693
"85",146036,"MAUREEN S","Cargo",429,"2016-12-17T05:51:06Z","2016-12-19T06:07:06Z",55.71506,21.11333,"2016-12-19T04:53:06Z",55.72418,21.09668,1456.20721963587
"86",146069,"SPANACO FIDELITY","Cargo",299,"2016-12-13T11:31:07Z","2016-12-20T01:05:06Z",55.71562,21.11,"2016-12-19T23:19:14Z",55.72241,21.09879,1032.16263193324
"87",146097,"WILHELM","Cargo",900,"2016-12-13T11:31:04Z","2016-12-14T02:29:04Z",59.89294,30.22716,"2016-12-13T12:07:05Z",59.89277,30.2269,23.8518981407892
"88",146140,"WILSON SUND","Cargo",521,"2016-12-18T09:55:03Z","2016-12-19T10:11:03Z",54.69806,20.45276,"2016-12-19T03:27:03Z",54.698,20.45283,8.05538183051189
"89",146336,"BELBEK","Cargo",2342,"2016-12-13T11:31:04Z","2016-12-15T10:09:05Z",59.91674,30.02597,"2016-12-15T10:07:04Z",59.92099,30.00478,1273.46590947794
"90",148345,"TEKOS","Tanker",9481,"2016-12-13T11:31:04Z","2016-12-20T11:11:04Z",59.88132,30.2292,"2016-12-13T22:13:05Z",59.8825,30.22828,141.051615468122
"91",148995,"BALTICA","Cargo",558,"2016-12-19T04:45:05Z","2016-12-19T14:59:06Z",57.6458,11.70329,"2016-12-19T14:47:05Z",57.63161,11.68412,1949.33559775101
"92",149302,"SEAEMPRESS","Tanker",3265,"2016-12-14T14:47:05Z","2016-12-17T04:35:05Z",57.65883,11.76585,"2016-12-14T15:11:05Z",57.66497,11.7813,1146.10612412832
"93",149310,"MURRAY STAR","Tanker",4638,"2016-12-13T11:21:01Z","2016-12-18T13:41:02Z",54.4347,18.93194,"2016-12-18T13:27:02Z",54.43482,18.95198,1297.59278597634
"94",149677,"PRINCESS ANASTASIA","Passenger",1102,"2016-12-16T04:33:04Z","2016-12-20T11:11:04Z",59.91652,30.02609,"2016-12-20T04:43:04Z",59.91213,30.04772,1302.21305061743
"95",150545,"RIG","Cargo",179,"2016-12-16T11:15:07Z","2016-12-17T04:17:06Z",55.72821,21.06735,"2016-12-16T12:55:06Z",55.71651,21.10869,2900.68026014042
"96",150705,"CATHARINA SCHULTE","Cargo",4721,"2016-12-13T11:31:08Z","2016-12-20T10:59:07Z",54.53396,18.55884,"2016-12-16T12:55:07Z",54.52669,18.56057,816.971733484648
"97",151630,"HENNEKE RAMBOW","Cargo",1221,"2016-12-17T12:35:04Z","2016-12-18T08:59:04Z",59.90027,30.10585,"2016-12-18T08:41:05Z",59.90508,30.08266,1400.91057648479
"98",151751,"SEAMARLIN","Tanker",450,"2016-12-13T11:31:08Z","2016-12-14T02:29:07Z",54.53357,18.5618,"2016-12-14T00:17:07Z",54.5336,18.56182,3.58072552092579
"99",151919,"KRISTIN","Fishing",152,"2016-12-16T11:07:05Z","2016-12-20T08:09:06Z",57.60079,11.64452,"2016-12-16T11:15:06Z",57.60241,11.81972,10451.4168453557
"100",151978,"VICTORIA","Fishing",2792,"2016-12-16T11:47:05Z","2016-12-20T11:11:05Z",57.74051,11.60408,"2016-12-16T11:47:05Z",57.74534,11.61588,883.516625123507
"101",152647,"SEABASS","Tanker",109,"2016-12-20T06:03:06Z","2016-12-20T11:11:06Z",55.76583,20.80123,"2016-12-20T06:05:06Z",55.77108,20.819,1256.91856974788
"102",152955,"WALTER HAMMANN","Cargo",3,"2016-12-20T10:57:05Z","2016-12-20T11:11:05Z",57.62553,11.68675,"2016-12-20T10:59:05Z",57.64769,11.7103,2838.05140073341
"103",153800,"AMANDA","Cargo",52,"2016-12-18T14:39:06Z","2016-12-19T15:13:05Z",57.94727,11.69585,"2016-12-19T14:47:05Z",57.93981,11.68622,1006.6608317694
"104",154769,"SCANDINAVIA","Tanker",2545,"2016-12-13T13:07:06Z","2016-12-17T08:59:05Z",57.67654,11.80368,"2016-12-16T12:55:08Z",57.68291,11.83696,2103.83481844875
"105",154872,"CHRISTINA MICHELLE","Fishing",302,"2016-12-13T11:31:08Z","2016-12-15T12:05:08Z",54.79703,18.43237,"2016-12-13T23:11:07Z",54.79712,18.42093,734.20514089996
"106",155138,"SUPPLIER","Tug",4285,"2016-12-13T11:31:05Z","2016-12-20T10:11:05Z",57.62333,11.80992,"2016-12-18T13:55:07Z",57.63467,11.82315,1488.39285851722
"107",155229,"TARNBRIS","Tanker",31,"2016-12-16T22:41:05Z","2016-12-17T13:45:05Z",57.93065,11.6717,"2016-12-16T22:57:05Z",57.95887,11.71158,3926.84679921595
"108",155585,"TENDER1","Cargo",2432,"2016-12-13T11:31:08Z","2016-12-20T11:11:05Z",57.64594,11.85902,"2016-12-14T02:23:08Z",57.61285,11.80496,4893.83934507296
"109",155711,"MAERSKMCKINNEYMOLLER","Cargo",2367,"2016-12-16T02:29:02Z","2016-12-19T11:01:02Z",54.45481,18.99613,"2016-12-19T09:41:02Z",54.78387,18.98247,36641.3710793647
"110",155712,"PACIFIC","Tanker",1418,"2016-12-16T13:09:06Z","2016-12-17T13:41:05Z",57.65675,11.7552,"2016-12-16T13:41:05Z",57.66047,11.77207,1086.63918359059
"111",156111,"TERNVAG","Tanker",1869,"2016-12-17T11:45:05Z","2016-12-18T19:39:06Z",57.63937,11.69865,"2016-12-17T11:55:04Z",57.64993,11.71384,1483.50788919045
"112",156114,"TERNHAV","Tanker",2915,"2016-12-14T16:25:05Z","2016-12-17T02:31:05Z",57.64655,11.7016,"2016-12-17T02:11:05Z",57.63419,11.68644,1645.90463488358
"113",156246,"MARINUS","Tanker",2196,"2016-12-15T01:07:02Z","2016-12-19T12:59:05Z",54.79558,18.92765,"2016-12-16T02:15:01Z",57.60408,11.61143,550007.416494016
"114",156323,"LEXUS","Tanker",537,"2016-12-16T01:19:05Z","2016-12-17T21:49:05Z",57.7485,11.62933,"2016-12-17T21:47:05Z",57.74821,11.60452,1474.17665248459
"115",156348,"STELLA NOVA","Fishing",4727,"2016-12-13T11:31:05Z","2016-12-20T11:11:05Z",57.7071,11.65927,"2016-12-17T00:03:05Z",57.70704,11.6593,6.91336061463033
"116",156373,"SCORPIUS","Tanker",869,"2016-12-13T11:31:05Z","2016-12-16T13:21:06Z",57.65641,11.74777,"2016-12-16T12:55:05Z",57.64573,11.70345,2895.24621131725
"117",156758,"ANGLIA SEAWAYS","Cargo",304,"2016-12-20T01:59:02Z","2016-12-20T11:11:02Z",54.79479,18.94468,"2016-12-20T02:03:01Z",54.78513,18.9612,1510.18230707738
